datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,25.98,22.7253
2021-07-01T01:00:00.000000000,25.91,22.31284
2021-07-01T02:00:00.000000000,25.82,21.92013
2021-07-01T03:00:00.000000000,25.19,21.73846
2021-07-01T04:00:00.000000000,25.35,21.95439
2021-07-01T05:00:00.000000000,26.3,22.43703
2021-07-01T06:00:00.000000000,25.67,23.29338
2021-07-01T07:00:00.000000000,28.52,24.45357
2021-07-01T08:00:00.000000000,30.26,25.74422
2021-07-01T09:00:00.000000000,30.78,27.0541
2021-07-01T10:00:00.000000000,31.83,28.08214
2021-07-01T11:00:00.000000000,31.4,28.73947
2021-07-01T12:00:00.000000000,32.05,29.08302
2021-07-01T13:00:00.000000000,31.77,29.04654
2021-07-01T14:00:00.000000000,30.91,28.57772
2021-07-01T15:00:00.000000000,30.49,27.95283
2021-07-01T16:00:00.000000000,29.56,27.14823
2021-07-01T17:00:00.000000000,28.11,26.45308
2021-07-01T18:00:00.000000000,27.42,25.77448
2021-07-01T19:00:00.000000000,27.29,25.1946
2021-07-01T20:00:00.000000000,26.84,24.70954
2021-07-01T21:00:00.000000000,26.91,24.39068
2021-07-01T22:00:00.000000000,26.72,23.98842
2021-07-01T23:00:00.000000000,26.47,23.42934
2021-07-02T00:00:00.000000000,25.92,21.70756
2021-07-02T01:00:00.000000000,25.38,21.2111
2021-07-02T02:00:00.000000000,25.31,20.72512
2021-07-02T03:00:00.000000000,25.09,20.41383
2021-07-02T04:00:00.000000000,24.78,20.4776
2021-07-02T05:00:00.000000000,25.46,20.78181
2021-07-02T06:00:00.000000000,26.92,21.45071
2021-07-02T07:00:00.000000000,29.35,22.45495
2021-07-02T08:00:00.000000000,30.94,23.61972
2021-07-02T09:00:00.000000000,32.07,24.86015
2021-07-02T10:00:00.000000000,33.8,25.88602
2021-07-02T11:00:00.000000000,35.88,26.61281
2021-07-02T12:00:00.000000000,39.46,27.11976
2021-07-02T13:00:00.000000000,40.88,27.32639
2021-07-02T14:00:00.000000000,39.31,27.12038
2021-07-02T15:00:00.000000000,37.87,26.75873
2021-07-02T16:00:00.000000000,35.58,26.19588
2021-07-02T17:00:00.000000000,33.76,25.67188
2021-07-02T18:00:00.000000000,33.67,25.12918
2021-07-02T19:00:00.000000000,33.84,24.62368
2021-07-02T20:00:00.000000000,33.77,24.14726
2021-07-02T21:00:00.000000000,33.24,23.76525
2021-07-02T22:00:00.000000000,34.05,23.27511
2021-07-02T23:00:00.000000000,34.38,22.62656
2021-07-03T00:00:00.000000000,33.44,21.11044
2021-07-03T01:00:00.000000000,32.86,20.68758
2021-07-03T02:00:00.000000000,32.55,20.23021
2021-07-03T03:00:00.000000000,33.55,19.90079
2021-07-03T04:00:00.000000000,32.73,19.8999
2021-07-03T05:00:00.000000000,33.45,20.10574
2021-07-03T06:00:00.000000000,34.99,20.65998
2021-07-03T07:00:00.000000000,37.19,21.55171
2021-07-03T08:00:00.000000000,39.59,22.61924
2021-07-03T09:00:00.000000000,40.5,23.78865
2021-07-03T10:00:00.000000000,41.65,24.77818
2021-07-03T11:00:00.000000000,43.43,25.502
2021-07-03T12:00:00.000000000,45.09,26.02379
2021-07-03T13:00:00.000000000,46.04,26.25684
2021-07-03T14:00:00.000000000,43.63,26.08207
2021-07-03T15:00:00.000000000,42.78,25.73303
2021-07-03T16:00:00.000000000,41.26,25.16925
2021-07-03T17:00:00.000000000,39.25,24.6279
2021-07-03T18:00:00.000000000,39.53,24.07949
2021-07-03T19:00:00.000000000,39.44,23.59364
2021-07-03T20:00:00.000000000,38.46,23.16588
2021-07-03T21:00:00.000000000,37.37,22.85482
2021-07-03T22:00:00.000000000,36.45,22.45297
2021-07-03T23:00:00.000000000,36.08,21.90444
2021-07-04T00:00:00.000000000,35.03,20.32615
2021-07-04T01:00:00.000000000,34.35,19.92418
2021-07-04T02:00:00.000000000,33.93,19.49145
2021-07-04T03:00:00.000000000,32.22,19.19081
2021-07-04T04:00:00.000000000,33.55,19.22576
2021-07-04T05:00:00.000000000,35.01,19.47614
2021-07-04T06:00:00.000000000,38.2,20.07229
2021-07-04T07:00:00.000000000,40.51,20.98419
2021-07-04T08:00:00.000000000,41.49,22.05734
2021-07-04T09:00:00.000000000,42.2,23.21947
2021-07-04T10:00:00.000000000,43.7,24.19531
2021-07-04T11:00:00.000000000,43.29,24.9024
2021-07-04T12:00:00.000000000,45.03,25.37824
2021-07-04T13:00:00.000000000,46.82,25.54646
