datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,162.35,192.64741
2021-07-01T01:00:00.000000000,183.72,220.73026
2021-07-01T02:00:00.000000000,226.5,243.632
2021-07-01T03:00:00.000000000,250.79,256.58538
2021-07-01T04:00:00.000000000,251.0,255.58303
2021-07-01T05:00:00.000000000,253.65,248.74337
2021-07-01T06:00:00.000000000,242.78,241.90588
2021-07-01T07:00:00.000000000,245.9,232.59558
2021-07-01T08:00:00.000000000,243.18,220.27274
2021-07-01T09:00:00.000000000,239.27,210.49451
2021-07-01T10:00:00.000000000,236.96,208.9129
2021-07-01T11:00:00.000000000,235.3,213.45156
2021-07-01T12:00:00.000000000,233.51,214.47927
2021-07-01T13:00:00.000000000,228.12,204.09751
2021-07-01T14:00:00.000000000,168.95,178.75058
2021-07-01T15:00:00.000000000,144.28,145.77513
2021-07-01T16:00:00.000000000,133.48,120.2852
2021-07-01T17:00:00.000000000,132.39,110.07917
2021-07-01T18:00:00.000000000,128.73,111.82095
2021-07-01T19:00:00.000000000,136.27,117.40291
2021-07-01T20:00:00.000000000,137.5,121.96963
2021-07-01T21:00:00.000000000,140.8,127.52464
2021-07-01T22:00:00.000000000,148.03,138.10421
2021-07-01T23:00:00.000000000,156.27,157.36002
2021-07-02T00:00:00.000000000,164.05,189.43966
2021-07-02T01:00:00.000000000,183.26,211.60226
2021-07-02T02:00:00.000000000,228.33,232.45531
2021-07-02T03:00:00.000000000,250.12,249.65319
2021-07-02T04:00:00.000000000,248.23,254.60795
2021-07-02T05:00:00.000000000,241.91,250.03617
2021-07-02T06:00:00.000000000,237.49,240.64592
2021-07-02T07:00:00.000000000,235.49,226.70979
2021-07-02T08:00:00.000000000,236.83,210.77474
2021-07-02T09:00:00.000000000,229.4,199.89775
2021-07-02T10:00:00.000000000,228.7,198.84206
2021-07-02T11:00:00.000000000,226.58,203.52496
2021-07-02T12:00:00.000000000,236.3,206.71217
2021-07-02T13:00:00.000000000,237.47,201.19618
2021-07-02T14:00:00.000000000,188.81,179.33709
2021-07-02T15:00:00.000000000,158.87,145.65092
2021-07-02T16:00:00.000000000,146.93,117.19295
2021-07-02T17:00:00.000000000,138.94,105.70075
2021-07-02T18:00:00.000000000,144.33,108.92831
2021-07-02T19:00:00.000000000,150.66,117.44368
2021-07-02T20:00:00.000000000,156.93,124.42311
2021-07-02T21:00:00.000000000,160.17,130.7752
2021-07-02T22:00:00.000000000,168.86,141.11862
2021-07-02T23:00:00.000000000,168.74,158.92167
2021-07-03T00:00:00.000000000,184.24,192.37205
2021-07-03T01:00:00.000000000,194.82,210.39236
2021-07-03T02:00:00.000000000,229.61,229.39941
2021-07-03T03:00:00.000000000,253.62,247.62979
2021-07-03T04:00:00.000000000,246.29,254.69114
2021-07-03T05:00:00.000000000,249.4,251.63745
2021-07-03T06:00:00.000000000,241.42,242.58077
2021-07-03T07:00:00.000000000,234.11,228.34162
2021-07-03T08:00:00.000000000,231.8,212.46974
2021-07-03T09:00:00.000000000,241.24,202.24469
2021-07-03T10:00:00.000000000,238.27,201.66798
2021-07-03T11:00:00.000000000,231.77,205.91138
2021-07-03T12:00:00.000000000,225.48,208.53934
2021-07-03T13:00:00.000000000,224.57,203.81696
2021-07-03T14:00:00.000000000,190.47,184.58476
2021-07-03T15:00:00.000000000,148.11,153.9764
2021-07-03T16:00:00.000000000,144.4,126.95778
2021-07-03T17:00:00.000000000,132.37,114.71257
2021-07-03T18:00:00.000000000,127.84,116.13472
2021-07-03T19:00:00.000000000,132.05,123.48681
2021-07-03T20:00:00.000000000,139.79,130.30857
2021-07-03T21:00:00.000000000,147.99,137.21451
2021-07-03T22:00:00.000000000,146.68,147.91012
2021-07-03T23:00:00.000000000,158.59,164.73101
2021-07-04T00:00:00.000000000,157.87,193.93454
2021-07-04T01:00:00.000000000,179.86,213.01961
2021-07-04T02:00:00.000000000,228.31,233.1423
2021-07-04T03:00:00.000000000,251.05,254.17792
2021-07-04T04:00:00.000000000,238.78,262.96287
2021-07-04T05:00:00.000000000,239.64,259.57905
2021-07-04T06:00:00.000000000,238.41,250.94416
2021-07-04T07:00:00.000000000,240.48,239.00457
2021-07-04T08:00:00.000000000,231.65,225.49981
2021-07-04T09:00:00.000000000,214.29,216.33159
