datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,334.8,254.42184
2021-07-01T01:00:00.000000000,286.93,249.86114
2021-07-01T02:00:00.000000000,286.69,249.23589
2021-07-01T03:00:00.000000000,283.79,251.36614
2021-07-01T04:00:00.000000000,284.75,256.03103
2021-07-01T05:00:00.000000000,293.18,261.8192
2021-07-01T06:00:00.000000000,291.67,266.08727
2021-07-01T07:00:00.000000000,287.64,269.33648
2021-07-01T08:00:00.000000000,281.87,270.62991
2021-07-01T09:00:00.000000000,270.88,269.74635
2021-07-01T10:00:00.000000000,265.52,266.54673
2021-07-01T11:00:00.000000000,257.87,262.93327
2021-07-01T12:00:00.000000000,257.46,261.79337
2021-07-01T13:00:00.000000000,258.7,263.45698
2021-07-01T14:00:00.000000000,266.11,268.38947
2021-07-01T15:00:00.000000000,278.53,277.71596
2021-07-01T16:00:00.000000000,299.78,293.02125
2021-07-01T17:00:00.000000000,322.77,312.70733
2021-07-01T18:00:00.000000000,343.82,333.42639
2021-07-01T19:00:00.000000000,359.44,352.64212
2021-07-01T20:00:00.000000000,364.73,367.21094
2021-07-01T21:00:00.000000000,361.46,374.19429
2021-07-01T22:00:00.000000000,355.6,372.88239
2021-07-01T23:00:00.000000000,350.77,366.24934
2021-07-02T00:00:00.000000000,359.56,335.78231
2021-07-02T01:00:00.000000000,349.85,331.14691
2021-07-02T02:00:00.000000000,349.09,331.11592
2021-07-02T03:00:00.000000000,349.36,333.07867
2021-07-02T04:00:00.000000000,354.15,334.58379
2021-07-02T05:00:00.000000000,356.01,332.59544
2021-07-02T06:00:00.000000000,341.96,323.56386
2021-07-02T07:00:00.000000000,319.46,308.5115
2021-07-02T08:00:00.000000000,294.55,288.98388
2021-07-02T09:00:00.000000000,273.92,268.76453
2021-07-02T10:00:00.000000000,257.73,251.54323
2021-07-02T11:00:00.000000000,245.13,239.70436
2021-07-02T12:00:00.000000000,236.2,236.04953
2021-07-02T13:00:00.000000000,233.93,241.15975
2021-07-02T14:00:00.000000000,237.66,255.35339
2021-07-02T15:00:00.000000000,249.33,278.06135
2021-07-02T16:00:00.000000000,272.07,307.59344
2021-07-02T17:00:00.000000000,302.83,338.878
2021-07-02T18:00:00.000000000,341.3,366.30919
2021-07-02T19:00:00.000000000,370.84,386.04878
2021-07-02T20:00:00.000000000,375.96,396.29896
2021-07-02T21:00:00.000000000,376.17,398.0423
2021-07-02T22:00:00.000000000,372.74,393.66519
2021-07-02T23:00:00.000000000,365.17,386.96143
2021-07-03T00:00:00.000000000,374.83,354.10375
2021-07-03T01:00:00.000000000,361.4,350.28986
2021-07-03T02:00:00.000000000,362.88,352.12266
2021-07-03T03:00:00.000000000,368.74,355.33963
