datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,368.18,371.99897
2021-07-01T01:00:00.000000000,383.42,365.4049
2021-07-01T02:00:00.000000000,398.95,359.35912
2021-07-01T03:00:00.000000000,395.58,355.48712
2021-07-01T04:00:00.000000000,386.73,355.33584
2021-07-01T05:00:00.000000000,380.36,354.99028
2021-07-01T06:00:00.000000000,365.67,354.66551
2021-07-01T07:00:00.000000000,357.2,354.04429
2021-07-01T08:00:00.000000000,357.62,353.71537
2021-07-01T09:00:00.000000000,360.02,355.81852
2021-07-01T10:00:00.000000000,363.76,358.44055
2021-07-01T11:00:00.000000000,368.47,362.6116
2021-07-01T12:00:00.000000000,378.09,364.45485
2021-07-01T13:00:00.000000000,375.3,365.51986
2021-07-01T14:00:00.000000000,365.85,372.10007
2021-07-01T15:00:00.000000000,361.68,381.60011
2021-07-01T16:00:00.000000000,363.2,386.12504
2021-07-01T17:00:00.000000000,365.92,388.546
2021-07-01T18:00:00.000000000,367.98,388.3132
2021-07-01T19:00:00.000000000,372.24,385.16658
2021-07-01T20:00:00.000000000,373.12,379.99111
2021-07-01T21:00:00.000000000,369.5,374.11624
2021-07-01T22:00:00.000000000,366.83,368.7552
2021-07-01T23:00:00.000000000,366.12,360.81982
2021-07-02T00:00:00.000000000,361.2,370.70682
2021-07-02T01:00:00.000000000,362.17,363.51179
2021-07-02T02:00:00.000000000,376.78,356.97898
2021-07-02T03:00:00.000000000,379.6,352.82593
2021-07-02T04:00:00.000000000,377.7,352.14545
2021-07-02T05:00:00.000000000,375.49,350.8731
2021-07-02T06:00:00.000000000,362.97,349.46519
2021-07-02T07:00:00.000000000,362.06,347.98157
2021-07-02T08:00:00.000000000,366.66,347.56266
2021-07-02T09:00:00.000000000,367.18,350.27732
2021-07-02T10:00:00.000000000,368.59,353.85664
2021-07-02T11:00:00.000000000,372.03,359.25793
2021-07-02T12:00:00.000000000,375.59,362.41729
2021-07-02T13:00:00.000000000,376.63,364.92034
2021-07-02T14:00:00.000000000,370.27,372.59017
2021-07-02T15:00:00.000000000,372.31,382.76848
2021-07-02T16:00:00.000000000,376.43,387.34391
2021-07-02T17:00:00.000000000,378.08,389.26268
2021-07-02T18:00:00.000000000,377.77,388.4055
2021-07-02T19:00:00.000000000,369.55,384.66924
2021-07-02T20:00:00.000000000,365.71,379.37283
2021-07-02T21:00:00.000000000,360.6,373.21828
2021-07-02T22:00:00.000000000,362.27,367.6097
2021-07-02T23:00:00.000000000,361.59,359.38172
2021-07-03T00:00:00.000000000,366.25,369.05942
2021-07-03T01:00:00.000000000,378.75,363.54589
2021-07-03T02:00:00.000000000,382.65,357.69587
2021-07-03T03:00:00.000000000,380.42,353.31708
2021-07-03T04:00:00.000000000,379.83,351.61343
2021-07-03T05:00:00.000000000,381.84,349.55157
2021-07-03T06:00:00.000000000,381.21,347.94882
2021-07-03T07:00:00.000000000,384.42,346.425
2021-07-03T08:00:00.000000000,389.1,345.71088
2021-07-03T09:00:00.000000000,391.21,348.1538
2021-07-03T10:00:00.000000000,397.79,351.50381
2021-07-03T11:00:00.000000000,403.89,355.97143
2021-07-03T12:00:00.000000000,406.98,358.36838
2021-07-03T13:00:00.000000000,412.41,360.44691
2021-07-03T14:00:00.000000000,408.83,367.81542
2021-07-03T15:00:00.000000000,401.14,377.85843
2021-07-03T16:00:00.000000000,395.09,382.45867
2021-07-03T17:00:00.000000000,387.0,384.92536
2021-07-03T18:00:00.000000000,383.21,385.04307
2021-07-03T19:00:00.000000000,380.64,382.88266
2021-07-03T20:00:00.000000000,377.67,379.79233
2021-07-03T21:00:00.000000000,376.41,376.26557
2021-07-03T22:00:00.000000000,377.01,373.73689
2021-07-03T23:00:00.000000000,378.98,368.03455
2021-07-04T00:00:00.000000000,372.43,371.51337
2021-07-04T01:00:00.000000000,382.62,368.62566
2021-07-04T02:00:00.000000000,388.78,364.27491
2021-07-04T03:00:00.000000000,386.98,359.59712
2021-07-04T04:00:00.000000000,386.08,355.78705
2021-07-04T05:00:00.000000000,387.59,351.06661
2021-07-04T06:00:00.000000000,382.82,347.20705
2021-07-04T07:00:00.000000000,385.47,344.24529
2021-07-04T08:00:00.000000000,394.12,343.14342
2021-07-04T09:00:00.000000000,397.17,346.18593
2021-07-04T10:00:00.000000000,401.56,350.67998
2021-07-04T11:00:00.000000000,402.51,355.23151
2021-07-04T12:00:00.000000000,406.51,356.30746
2021-07-04T13:00:00.000000000,401.34,356.8824
2021-07-04T14:00:00.000000000,387.23,362.75732
2021-07-04T15:00:00.000000000,373.98,371.61148
2021-07-04T16:00:00.000000000,369.83,375.85538
2021-07-04T17:00:00.000000000,374.34,378.5614
2021-07-04T18:00:00.000000000,375.69,379.32234
2021-07-04T19:00:00.000000000,374.98,378.39016
2021-07-04T20:00:00.000000000,370.71,377.57322
2021-07-04T21:00:00.000000000,363.41,377.51943
2021-07-04T22:00:00.000000000,355.73,378.72076
2021-07-04T23:00:00.000000000,349.02,376.11228
2021-07-02T00:00:00.000000000,361.2,375.02347
2021-07-02T01:00:00.000000000,362.17,369.06048
2021-07-02T02:00:00.000000000,376.78,363.71129
2021-07-02T03:00:00.000000000,379.6,360.59256
2021-07-02T04:00:00.000000000,377.7,361.24342
2021-07-02T05:00:00.000000000,375.49,361.59642
2021-07-02T06:00:00.000000000,362.97,361.72012
2021-07-02T07:00:00.000000000,362.06,361.22724
2021-07-02T08:00:00.000000000,366.66,360.53918
2021-07-02T09:00:00.000000000,367.18,361.94094
2021-07-02T10:00:00.000000000,368.59,363.7741
2021-07-02T11:00:00.000000000,372.03,367.24832
2021-07-02T12:00:00.000000000,375.59,368.58876
2021-07-02T13:00:00.000000000,376.63,369.27339
2021-07-02T14:00:00.000000000,370.27,375.63814
2021-07-02T15:00:00.000000000,372.31,385.05918
2021-07-02T16:00:00.000000000,376.43,389.42849
2021-07-02T17:00:00.000000000,378.08,391.57176
2021-07-02T18:00:00.000000000,377.77,391.23163
2021-07-02T19:00:00.000000000,369.55,388.09259
2021-07-02T20:00:00.000000000,365.71,383.05393
2021-07-02T21:00:00.000000000,360.6,377.47503
2021-07-02T22:00:00.000000000,362.27,372.3585
2021-07-02T23:00:00.000000000,361.59,364.67873
2021-07-03T00:00:00.000000000,366.25,369.96059
2021-07-03T01:00:00.000000000,378.75,364.62852
2021-07-03T02:00:00.000000000,382.65,360.20365
2021-07-03T03:00:00.000000000,380.42,358.00054
2021-07-03T04:00:00.000000000,379.83,359.47609
2021-07-03T05:00:00.000000000,381.84,360.32681
2021-07-03T06:00:00.000000000,381.21,360.5847
2021-07-03T07:00:00.000000000,384.42,359.80562
2021-07-03T08:00:00.000000000,389.1,358.66941
2021-07-03T09:00:00.000000000,391.21,359.48989
2021-07-03T10:00:00.000000000,397.79,360.7098
2021-07-03T11:00:00.000000000,403.89,363.70831
2021-07-03T12:00:00.000000000,406.98,364.8619
2021-07-03T13:00:00.000000000,412.41,365.62764
2021-07-03T14:00:00.000000000,408.83,372.11962
2021-07-03T15:00:00.000000000,401.14,381.79315
2021-07-03T16:00:00.000000000,395.09,386.50785
2021-07-03T17:00:00.000000000,387.0,388.9626
2021-07-03T18:00:00.000000000,383.21,388.9145
2021-07-03T19:00:00.000000000,380.64,385.73603
2021-07-03T20:00:00.000000000,377.67,380.18514
2021-07-03T21:00:00.000000000,376.41,374.15804
2021-07-03T22:00:00.000000000,377.01,368.6327
2021-07-03T23:00:00.000000000,378.98,360.78668
2021-07-04T00:00:00.000000000,372.43,361.20736
2021-07-04T01:00:00.000000000,382.62,360.39978
2021-07-04T02:00:00.000000000,388.78,357.87032
2021-07-04T03:00:00.000000000,386.98,354.2766
2021-07-04T04:00:00.000000000,386.08,350.78826
2021-07-04T05:00:00.000000000,387.59,345.97147
2021-07-04T06:00:00.000000000,382.82,341.36259
2021-07-04T07:00:00.000000000,385.47,336.71761
2021-07-04T08:00:00.000000000,394.12,333.26654
2021-07-04T09:00:00.000000000,397.17,333.69782
2021-07-04T10:00:00.000000000,401.56,335.97593
2021-07-04T11:00:00.000000000,402.51,339.02157
2021-07-04T12:00:00.000000000,406.51,339.67889
2021-07-04T13:00:00.000000000,401.34,340.83914
2021-07-04T14:00:00.000000000,387.23,347.76432
2021-07-04T15:00:00.000000000,373.98,358.26308
2021-07-04T16:00:00.000000000,369.83,364.68758
2021-07-04T17:00:00.000000000,374.34,369.87197
2021-07-04T18:00:00.000000000,375.69,372.76845
2021-07-04T19:00:00.000000000,374.98,372.82766
2021-07-04T20:00:00.000000000,370.71,372.07785
2021-07-04T21:00:00.000000000,363.41,372.37062
2021-07-04T22:00:00.000000000,355.73,374.13882
2021-07-04T23:00:00.000000000,349.02,371.96173
2021-07-05T00:00:00.000000000,337.18,372.05814
2021-07-05T01:00:00.000000000,327.86,369.12201
2021-07-05T02:00:00.000000000,342.87,365.15729
2021-07-05T03:00:00.000000000,345.82,361.15702
2021-07-05T04:00:00.000000000,342.8,358.07733
2021-07-05T05:00:00.000000000,340.57,353.77363
2021-07-05T06:00:00.000000000,345.59,349.8725
2021-07-05T07:00:00.000000000,351.99,346.64605
2021-07-05T08:00:00.000000000,363.07,345.28253
2021-07-05T09:00:00.000000000,367.62,348.10226
2021-07-05T10:00:00.000000000,376.67,352.4104
2021-07-05T11:00:00.000000000,382.81,356.98745
2021-07-05T12:00:00.000000000,389.1,358.1628
2021-07-05T13:00:00.000000000,390.98,358.87623
2021-07-05T14:00:00.000000000,392.55,364.93039
2021-07-05T15:00:00.000000000,385.62,373.94255
2021-07-05T16:00:00.000000000,376.4,378.13165
2021-07-05T17:00:00.000000000,372.27,380.54448
2021-07-05T18:00:00.000000000,370.72,380.8695
2021-07-05T19:00:00.000000000,370.8,379.36277
2021-07-05T20:00:00.000000000,363.21,377.92231
2021-07-05T21:00:00.000000000,356.01,377.14635
2021-07-05T22:00:00.000000000,352.5,377.5522
2021-07-05T23:00:00.000000000,346.39,374.3856
2021-07-03T00:00:00.000000000,366.25,371.54441
2021-07-03T01:00:00.000000000,378.75,367.11302
2021-07-03T02:00:00.000000000,382.65,363.16526
2021-07-03T03:00:00.000000000,380.42,361.13777
2021-07-03T04:00:00.000000000,379.83,362.89887
2021-07-03T05:00:00.000000000,381.84,364.47335
2021-07-03T06:00:00.000000000,381.21,365.76717
2021-07-03T07:00:00.000000000,384.42,366.03256
2021-07-03T08:00:00.000000000,389.1,365.38975
2021-07-03T09:00:00.000000000,391.21,366.20807
2021-07-03T10:00:00.000000000,397.79,366.98371
2021-07-03T11:00:00.000000000,403.89,368.92445
2021-07-03T12:00:00.000000000,406.98,368.65306
2021-07-03T13:00:00.000000000,412.41,367.70563
2021-07-03T14:00:00.000000000,408.83,372.35345
2021-07-03T15:00:00.000000000,401.14,380.08714
2021-07-03T16:00:00.000000000,395.09,383.35056
2021-07-03T17:00:00.000000000,387.0,384.92654
2021-07-03T18:00:00.000000000,383.21,384.72529
2021-07-03T19:00:00.000000000,380.64,382.19199
2021-07-03T20:00:00.000000000,377.67,377.78347
2021-07-03T21:00:00.000000000,376.41,373.29162
2021-07-03T22:00:00.000000000,377.01,369.31028
2021-07-03T23:00:00.000000000,378.98,363.03825
2021-07-04T00:00:00.000000000,372.43,365.93353
2021-07-04T01:00:00.000000000,382.62,360.15629
2021-07-04T02:00:00.000000000,388.78,354.13301
2021-07-04T03:00:00.000000000,386.98,349.38872
2021-07-04T04:00:00.000000000,386.08,346.70288
2021-07-04T05:00:00.000000000,387.59,343.12648
2021-07-04T06:00:00.000000000,382.82,339.5224
2021-07-04T07:00:00.000000000,385.47,335.83693
2021-07-04T08:00:00.000000000,394.12,333.45639
2021-07-04T09:00:00.000000000,397.17,334.76098
2021-07-04T10:00:00.000000000,401.56,337.69683
2021-07-04T11:00:00.000000000,402.51,342.60682
2021-07-04T12:00:00.000000000,406.51,345.99401
2021-07-04T13:00:00.000000000,401.34,349.5708
2021-07-04T14:00:00.000000000,387.23,358.5737
2021-07-04T15:00:00.000000000,373.98,370.17604
2021-07-04T16:00:00.000000000,369.83,376.38507
2021-07-04T17:00:00.000000000,374.34,380.3311
2021-07-04T18:00:00.000000000,375.69,381.4312
2021-07-04T19:00:00.000000000,374.98,379.40897
2021-07-04T20:00:00.000000000,370.71,376.01701
2021-07-04T21:00:00.000000000,363.41,372.06211
2021-07-04T22:00:00.000000000,355.73,368.94192
2021-07-04T23:00:00.000000000,349.02,362.41889
2021-07-05T00:00:00.000000000,337.18,367.98731
2021-07-05T01:00:00.000000000,327.86,361.29325
2021-07-05T02:00:00.000000000,342.87,354.43472
2021-07-05T03:00:00.000000000,345.82,349.33912
2021-07-05T04:00:00.000000000,342.8,346.87139
2021-07-05T05:00:00.000000000,340.57,343.79003
2021-07-05T06:00:00.000000000,345.59,341.31483
2021-07-05T07:00:00.000000000,351.99,339.35818
2021-07-05T08:00:00.000000000,363.07,339.12808
2021-07-05T09:00:00.000000000,367.62,342.66186
2021-07-05T10:00:00.000000000,376.67,347.38407
2021-07-05T11:00:00.000000000,382.81,353.3666
2021-07-05T12:00:00.000000000,389.1,357.05454
2021-07-05T13:00:00.000000000,390.98,360.26361
2021-07-05T14:00:00.000000000,392.55,368.18665
2021-07-05T15:00:00.000000000,385.62,378.19602
2021-07-05T16:00:00.000000000,376.4,382.42309
2021-07-05T17:00:00.000000000,372.27,384.20561
2021-07-05T18:00:00.000000000,370.72,383.6337
2021-07-05T19:00:00.000000000,370.8,380.84899
2021-07-05T20:00:00.000000000,363.21,377.43251
2021-07-05T21:00:00.000000000,356.01,373.26361
2021-07-05T22:00:00.000000000,352.5,369.87886
2021-07-05T23:00:00.000000000,346.39,363.25981
2021-07-06T00:00:00.000000000,345.77,366.82018
2021-07-06T01:00:00.000000000,355.81,359.33595
2021-07-06T02:00:00.000000000,373.56,352.74882
2021-07-06T03:00:00.000000000,378.38,348.84813
2021-07-06T04:00:00.000000000,377.73,349.16532
2021-07-06T05:00:00.000000000,381.73,349.28472
2021-07-06T06:00:00.000000000,383.32,349.98049
2021-07-06T07:00:00.000000000,385.29,351.06492
2021-07-06T08:00:00.000000000,389.59,353.41438
2021-07-06T09:00:00.000000000,394.17,358.58004
2021-07-06T10:00:00.000000000,401.71,363.9367
2021-07-06T11:00:00.000000000,412.06,370.23817
2021-07-06T12:00:00.000000000,414.9,373.2765
2021-07-06T13:00:00.000000000,412.47,374.85242
2021-07-06T14:00:00.000000000,400.99,380.88615
2021-07-06T15:00:00.000000000,397.22,389.20776
2021-07-06T16:00:00.000000000,387.54,391.90247
2021-07-06T17:00:00.000000000,376.96,392.07345
2021-07-06T18:00:00.000000000,370.65,389.64542
2021-07-06T19:00:00.000000000,363.83,384.72923
2021-07-06T20:00:00.000000000,358.58,378.32074
2021-07-06T21:00:00.000000000,357.65,370.86746
2021-07-06T22:00:00.000000000,358.61,363.97538
2021-07-06T23:00:00.000000000,360.37,354.85929
2021-07-04T00:00:00.000000000,372.43,385.81603
2021-07-04T01:00:00.000000000,382.62,380.4075
2021-07-04T02:00:00.000000000,388.78,373.70702
2021-07-04T03:00:00.000000000,386.98,367.48819
2021-07-04T04:00:00.000000000,386.08,362.87113
2021-07-04T05:00:00.000000000,387.59,357.95565
2021-07-04T06:00:00.000000000,382.82,353.71106
2021-07-04T07:00:00.000000000,385.47,350.44344
2021-07-04T08:00:00.000000000,394.12,348.71032
2021-07-04T09:00:00.000000000,397.17,351.35403
2021-07-04T10:00:00.000000000,401.56,355.79841
2021-07-04T11:00:00.000000000,402.51,361.2765
2021-07-04T12:00:00.000000000,406.51,363.73312
2021-07-04T13:00:00.000000000,401.34,365.03312
2021-07-04T14:00:00.000000000,387.23,371.22119
2021-07-04T15:00:00.000000000,373.98,379.51772
2021-07-04T16:00:00.000000000,369.83,382.57602
2021-07-04T17:00:00.000000000,374.34,383.76666
2021-07-04T18:00:00.000000000,375.69,383.34857
2021-07-04T19:00:00.000000000,374.98,382.15698
2021-07-04T20:00:00.000000000,370.71,381.81708
2021-07-04T21:00:00.000000000,363.41,382.27646
2021-07-04T22:00:00.000000000,355.73,383.52349
2021-07-04T23:00:00.000000000,349.02,380.93527
2021-07-05T00:00:00.000000000,337.18,382.86386
2021-07-05T01:00:00.000000000,327.86,374.22666
2021-07-05T02:00:00.000000000,342.87,365.46255
2021-07-05T03:00:00.000000000,345.82,358.91045
2021-07-05T04:00:00.000000000,342.8,355.79225
2021-07-05T05:00:00.000000000,340.57,352.82004
2021-07-05T06:00:00.000000000,345.59,350.79547
2021-07-05T07:00:00.000000000,351.99,349.80055
2021-07-05T08:00:00.000000000,363.07,350.49076
2021-07-05T09:00:00.000000000,367.62,354.92898
2021-07-05T10:00:00.000000000,376.67,360.43609
2021-07-05T11:00:00.000000000,382.81,367.21613
2021-07-05T12:00:00.000000000,389.1,371.0785
2021-07-05T13:00:00.000000000,390.98,373.62415
2021-07-05T14:00:00.000000000,392.55,380.77994
2021-07-05T15:00:00.000000000,385.62,389.77044
2021-07-05T16:00:00.000000000,376.4,392.7298
2021-07-05T17:00:00.000000000,372.27,393.17104
2021-07-05T18:00:00.000000000,370.72,391.61589
2021-07-05T19:00:00.000000000,370.8,388.72746
2021-07-05T20:00:00.000000000,363.21,385.85735
2021-07-05T21:00:00.000000000,356.01,382.25838
2021-07-05T22:00:00.000000000,352.5,378.93738
2021-07-05T23:00:00.000000000,346.39,372.1183
2021-07-06T00:00:00.000000000,345.77,375.20805
2021-07-06T01:00:00.000000000,355.81,367.76617
2021-07-06T02:00:00.000000000,373.56,359.98228
2021-07-06T03:00:00.000000000,378.38,354.15344
2021-07-06T04:00:00.000000000,377.73,351.40537
2021-07-06T05:00:00.000000000,381.73,348.39697
2021-07-06T06:00:00.000000000,383.32,346.17626
2021-07-06T07:00:00.000000000,385.29,344.89985
2021-07-06T08:00:00.000000000,389.59,345.61556
2021-07-06T09:00:00.000000000,394.17,350.35981
2021-07-06T10:00:00.000000000,401.71,356.30081
2021-07-06T11:00:00.000000000,412.06,363.3284
2021-07-06T12:00:00.000000000,414.9,367.04801
2021-07-06T13:00:00.000000000,412.47,369.46722
2021-07-06T14:00:00.000000000,400.99,376.38425
2021-07-06T15:00:00.000000000,397.22,385.1841
2021-07-06T16:00:00.000000000,387.54,388.14568
2021-07-06T17:00:00.000000000,376.96,388.50014
2021-07-06T18:00:00.000000000,370.65,386.29254
2021-07-06T19:00:00.000000000,363.83,382.1724
2021-07-06T20:00:00.000000000,358.58,378.01247
2021-07-06T21:00:00.000000000,357.65,373.38322
2021-07-06T22:00:00.000000000,358.61,369.74317
2021-07-06T23:00:00.000000000,360.37,363.30622
2021-07-07T00:00:00.000000000,360.77,358.4268
2021-07-07T01:00:00.000000000,374.61,359.11743
2021-07-07T02:00:00.000000000,394.54,359.27166
2021-07-07T03:00:00.000000000,398.38,360.56088
2021-07-07T04:00:00.000000000,400.95,364.78203
2021-07-07T05:00:00.000000000,404.34,367.91424
2021-07-07T06:00:00.000000000,403.93,370.64155
2021-07-07T07:00:00.000000000,407.72,372.57754
2021-07-07T08:00:00.000000000,415.57,374.19264
2021-07-07T09:00:00.000000000,420.45,377.67922
2021-07-07T10:00:00.000000000,423.36,381.02655
2021-07-07T11:00:00.000000000,423.23,384.58398
2021-07-07T12:00:00.000000000,419.85,384.16585
2021-07-07T13:00:00.000000000,413.84,382.94148
2021-07-07T14:00:00.000000000,390.6,385.29781
2021-07-07T15:00:00.000000000,381.7,388.36709
2021-07-07T16:00:00.000000000,380.92,385.14785
2021-07-07T17:00:00.000000000,380.77,378.82512
2021-07-07T18:00:00.000000000,375.36,371.21222
2021-07-07T19:00:00.000000000,375.42,362.55711
2021-07-07T20:00:00.000000000,373.42,355.3079
2021-07-07T21:00:00.000000000,372.16,350.21483
2021-07-07T22:00:00.000000000,371.71,347.33056
2021-07-07T23:00:00.000000000,369.69,344.14195
2021-07-05T00:00:00.000000000,337.18,365.50634
2021-07-05T01:00:00.000000000,327.86,360.87093
2021-07-05T02:00:00.000000000,342.87,354.96521
2021-07-05T03:00:00.000000000,345.82,349.48585
2021-07-05T04:00:00.000000000,342.8,345.48454
2021-07-05T05:00:00.000000000,340.57,340.92399
2021-07-05T06:00:00.000000000,345.59,337.1686
2021-07-05T07:00:00.000000000,351.99,334.34534
2021-07-05T08:00:00.000000000,363.07,333.52642
2021-07-05T09:00:00.000000000,367.62,337.2426
2021-07-05T10:00:00.000000000,376.67,342.36609
2021-07-05T11:00:00.000000000,382.81,348.36722
2021-07-05T12:00:00.000000000,389.1,351.70065
2021-07-05T13:00:00.000000000,390.98,354.21646
2021-07-05T14:00:00.000000000,392.55,360.81589
2021-07-05T15:00:00.000000000,385.62,369.19078
2021-07-05T16:00:00.000000000,376.4,372.20304
2021-07-05T17:00:00.000000000,372.27,373.15148
2021-07-05T18:00:00.000000000,370.72,372.55227
2021-07-05T19:00:00.000000000,370.8,370.91368
2021-07-05T20:00:00.000000000,363.21,369.86196
2021-07-05T21:00:00.000000000,356.01,369.3647
2021-07-05T22:00:00.000000000,352.5,370.12059
2021-07-05T23:00:00.000000000,346.39,367.4895
2021-07-06T00:00:00.000000000,345.77,355.87873
