datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,137.35,140.60175
2021-07-01T01:00:00.000000000,139.53,143.62514
2021-07-01T02:00:00.000000000,144.33,146.45526
2021-07-01T03:00:00.000000000,149.92,147.43668
2021-07-01T04:00:00.000000000,159.32,145.75093
2021-07-01T05:00:00.000000000,157.45,140.61316
2021-07-01T06:00:00.000000000,146.39,132.42181
2021-07-01T07:00:00.000000000,138.0,121.95888
2021-07-01T08:00:00.000000000,127.9,113.8588
2021-07-01T09:00:00.000000000,119.94,107.75787
2021-07-01T10:00:00.000000000,116.8,104.03204
2021-07-01T11:00:00.000000000,120.49,102.05339
2021-07-01T12:00:00.000000000,122.68,99.5013
2021-07-01T13:00:00.000000000,123.69,98.65714
2021-07-01T14:00:00.000000000,123.52,98.84668
2021-07-01T15:00:00.000000000,124.3,101.55567
2021-07-01T16:00:00.000000000,119.9,104.91904
2021-07-01T17:00:00.000000000,127.32,110.37902
2021-07-01T18:00:00.000000000,138.46,116.76006
2021-07-01T19:00:00.000000000,153.55,120.60184
2021-07-01T20:00:00.000000000,152.1,122.19969
2021-07-01T21:00:00.000000000,150.29,122.82159
2021-07-01T22:00:00.000000000,145.35,123.53223
2021-07-01T23:00:00.000000000,144.68,124.29152
2021-07-02T00:00:00.000000000,146.36,135.14827
2021-07-02T01:00:00.000000000,148.12,137.39118
2021-07-02T02:00:00.000000000,155.12,139.12916
2021-07-02T03:00:00.000000000,160.69,138.79401
2021-07-02T04:00:00.000000000,167.49,135.93181
2021-07-02T05:00:00.000000000,158.24,130.01855
2021-07-02T06:00:00.000000000,147.91,121.22574
2021-07-02T07:00:00.000000000,131.54,110.09567
2021-07-02T08:00:00.000000000,123.39,101.767
2021-07-02T09:00:00.000000000,119.87,96.01625
2021-07-02T10:00:00.000000000,115.13,92.6567
2021-07-02T11:00:00.000000000,112.97,91.22974
2021-07-02T12:00:00.000000000,109.31,88.84609
2021-07-02T13:00:00.000000000,105.24,87.94147
