datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,306.62,312.15232
2021-07-01T01:00:00.000000000,308.58,310.76984
2021-07-01T02:00:00.000000000,305.81,306.24554
2021-07-01T03:00:00.000000000,299.88,300.22366
2021-07-01T04:00:00.000000000,290.9,293.67176
2021-07-01T05:00:00.000000000,281.7,287.20768
2021-07-01T06:00:00.000000000,275.57,280.84248
2021-07-01T07:00:00.000000000,270.34,275.58455
2021-07-01T08:00:00.000000000,265.41,272.82801
2021-07-01T09:00:00.000000000,264.24,273.43407
2021-07-01T10:00:00.000000000,271.83,276.44309
2021-07-01T11:00:00.000000000,278.96,280.54055
2021-07-01T12:00:00.000000000,284.82,284.72096
2021-07-01T13:00:00.000000000,285.44,288.20677
2021-07-01T14:00:00.000000000,281.73,290.09513
2021-07-01T15:00:00.000000000,280.13,291.55077
2021-07-01T16:00:00.000000000,280.08,293.28094
2021-07-01T17:00:00.000000000,280.61,295.41883
2021-07-01T18:00:00.000000000,287.19,298.19074
2021-07-01T19:00:00.000000000,290.45,300.78856
2021-07-01T20:00:00.000000000,297.35,303.44223
2021-07-01T21:00:00.000000000,305.17,306.33326
2021-07-01T22:00:00.000000000,308.41,309.51784
2021-07-01T23:00:00.000000000,311.08,311.5099
2021-07-02T00:00:00.000000000,311.94,313.11428
2021-07-02T01:00:00.000000000,312.47,311.93641
2021-07-02T02:00:00.000000000,310.6,307.71071
2021-07-02T03:00:00.000000000,303.65,301.91437
2021-07-02T04:00:00.000000000,294.54,295.50945
2021-07-02T05:00:00.000000000,285.94,289.16503
2021-07-02T06:00:00.000000000,277.88,282.96753
2021-07-02T07:00:00.000000000,272.49,277.81682
2021-07-02T08:00:00.000000000,268.7,274.97612
2021-07-02T09:00:00.000000000,267.91,275.35894
2021-07-02T10:00:00.000000000,272.3,278.04532
2021-07-02T11:00:00.000000000,279.72,281.95431
2021-07-02T12:00:00.000000000,284.01,286.12054
2021-07-02T13:00:00.000000000,281.7,289.71703
2021-07-02T14:00:00.000000000,276.98,291.70197
2021-07-02T15:00:00.000000000,275.55,293.19804
2021-07-02T16:00:00.000000000,280.81,294.93038
2021-07-02T17:00:00.000000000,281.43,297.06053
2021-07-02T18:00:00.000000000,284.58,299.81899
2021-07-02T19:00:00.000000000,289.37,302.37608
2021-07-02T20:00:00.000000000,296.03,304.86437
2021-07-02T21:00:00.000000000,297.97,307.47678
2021-07-02T22:00:00.000000000,299.28,310.38301
2021-07-02T23:00:00.000000000,307.04,312.26156
2021-07-03T00:00:00.000000000,315.09,313.11209
2021-07-03T01:00:00.000000000,315.48,311.84894
2021-07-03T02:00:00.000000000,313.37,307.79896
2021-07-03T03:00:00.000000000,308.17,302.23635
2021-07-03T04:00:00.000000000,299.56,295.96117
2021-07-03T05:00:00.000000000,295.01,289.48773
2021-07-03T06:00:00.000000000,287.39,283.10944
2021-07-03T07:00:00.000000000,281.94,277.886
2021-07-03T08:00:00.000000000,278.73,275.19214
2021-07-03T09:00:00.000000000,276.41,275.85135
2021-07-03T10:00:00.000000000,276.82,278.67675
2021-07-03T11:00:00.000000000,279.34,282.51423
2021-07-03T12:00:00.000000000,283.3,286.5731
2021-07-03T13:00:00.000000000,283.7,290.2469
2021-07-03T14:00:00.000000000,280.89,292.52576
2021-07-03T15:00:00.000000000,280.62,294.28445
2021-07-03T16:00:00.000000000,282.53,295.95277
2021-07-03T17:00:00.000000000,291.82,297.65628
2021-07-03T18:00:00.000000000,301.27,299.8668
2021-07-03T19:00:00.000000000,303.04,302.17833
2021-07-03T20:00:00.000000000,305.76,304.82867
2021-07-03T21:00:00.000000000,305.56,307.75975
2021-07-03T22:00:00.000000000,309.2,310.8412
2021-07-03T23:00:00.000000000,313.68,312.58329
2021-07-04T00:00:00.000000000,315.56,312.86855
2021-07-04T01:00:00.000000000,315.8,310.7145
2021-07-04T02:00:00.000000000,313.32,305.6519
2021-07-04T03:00:00.000000000,308.46,299.16694
2021-07-04T04:00:00.000000000,302.81,291.99982
2021-07-04T05:00:00.000000000,295.12,284.87744
2021-07-04T06:00:00.000000000,288.74,278.23129
2021-07-04T07:00:00.000000000,282.64,273.39935
2021-07-04T08:00:00.000000000,278.21,271.65619
2021-07-04T09:00:00.000000000,276.44,273.34426
2021-07-04T10:00:00.000000000,275.63,276.94876
2021-07-04T11:00:00.000000000,277.74,281.14693
2021-07-04T12:00:00.000000000,283.31,285.28571
2021-07-04T13:00:00.000000000,285.59,288.89459
2021-07-04T14:00:00.000000000,282.58,291.20682
2021-07-04T15:00:00.000000000,282.15,293.06843
2021-07-04T16:00:00.000000000,283.47,294.81433
2021-07-04T17:00:00.000000000,282.83,296.57622
2021-07-04T18:00:00.000000000,285.59,298.88885
2021-07-04T19:00:00.000000000,290.84,301.39984
2021-07-04T20:00:00.000000000,300.14,304.49392
2021-07-04T21:00:00.000000000,306.16,307.97893
2021-07-04T22:00:00.000000000,307.87,311.36991
2021-07-04T23:00:00.000000000,310.45,312.82684
2021-07-02T00:00:00.000000000,311.94,314.02952
2021-07-02T01:00:00.000000000,312.47,312.82861
2021-07-02T02:00:00.000000000,310.6,307.74094
2021-07-02T03:00:00.000000000,303.65,300.85041
2021-07-02T04:00:00.000000000,294.54,293.43785
2021-07-02T05:00:00.000000000,285.94,286.49484
2021-07-02T06:00:00.000000000,277.88,279.83932
2021-07-02T07:00:00.000000000,272.49,274.42638
2021-07-02T08:00:00.000000000,268.7,271.61879
2021-07-02T09:00:00.000000000,267.91,272.21938
2021-07-02T10:00:00.000000000,272.3,275.33302
2021-07-02T11:00:00.000000000,279.72,279.58121
2021-07-02T12:00:00.000000000,284.01,283.60623
2021-07-02T13:00:00.000000000,281.7,286.35988
2021-07-02T14:00:00.000000000,276.98,287.18362
2021-07-02T15:00:00.000000000,275.55,287.85087
2021-07-02T16:00:00.000000000,280.81,289.44773
2021-07-02T17:00:00.000000000,281.43,292.16305
2021-07-02T18:00:00.000000000,284.58,295.77584
2021-07-02T19:00:00.000000000,289.37,299.0249
2021-07-02T20:00:00.000000000,296.03,302.06653
2021-07-02T21:00:00.000000000,297.97,305.40768
2021-07-02T22:00:00.000000000,299.28,309.26537
2021-07-02T23:00:00.000000000,307.04,312.19403
2021-07-03T00:00:00.000000000,315.09,313.45996
2021-07-03T01:00:00.000000000,315.48,312.36567
2021-07-03T02:00:00.000000000,313.37,308.30785
2021-07-03T03:00:00.000000000,308.17,302.64175
2021-07-03T04:00:00.000000000,299.56,296.27073
2021-07-03T05:00:00.000000000,295.01,289.83578
2021-07-03T06:00:00.000000000,287.39,283.54692
2021-07-03T07:00:00.000000000,281.94,278.35362
2021-07-03T08:00:00.000000000,278.73,275.54715
2021-07-03T09:00:00.000000000,276.41,276.0034
2021-07-03T10:00:00.000000000,276.82,278.68407
2021-07-03T11:00:00.000000000,279.34,282.53599
2021-07-03T12:00:00.000000000,283.3,286.6593
2021-07-03T13:00:00.000000000,283.7,290.28925
2021-07-03T14:00:00.000000000,280.89,292.35053
2021-07-03T15:00:00.000000000,280.62,293.86176
2021-07-03T16:00:00.000000000,282.53,295.43771
2021-07-03T17:00:00.000000000,291.82,297.28675
2021-07-03T18:00:00.000000000,301.27,299.76685
2021-07-03T19:00:00.000000000,303.04,302.23132
2021-07-03T20:00:00.000000000,305.76,304.81477
2021-07-03T21:00:00.000000000,305.56,307.58775
2021-07-03T22:00:00.000000000,309.2,310.61701
2021-07-03T23:00:00.000000000,313.68,312.54209
2021-07-04T00:00:00.000000000,315.56,311.51077
2021-07-04T01:00:00.000000000,315.8,309.40174
2021-07-04T02:00:00.000000000,313.32,304.25052
2021-07-04T03:00:00.000000000,308.46,297.65995
2021-07-04T04:00:00.000000000,302.81,290.53796
2021-07-04T05:00:00.000000000,295.12,283.61325
2021-07-04T06:00:00.000000000,288.74,277.17395
2021-07-04T07:00:00.000000000,282.64,272.47896
2021-07-04T08:00:00.000000000,278.21,270.7663
2021-07-04T09:00:00.000000000,276.44,272.40855
2021-07-04T10:00:00.000000000,275.63,276.10304
2021-07-04T11:00:00.000000000,277.74,280.4752
2021-07-04T12:00:00.000000000,283.31,284.83282
2021-07-04T13:00:00.000000000,285.59,288.61165
2021-07-04T14:00:00.000000000,282.58,291.02922
2021-07-04T15:00:00.000000000,282.15,292.95347
