datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,297.41,292.83334
2021-07-01T01:00:00.000000000,298.21,290.93752
2021-07-01T02:00:00.000000000,294.98,288.15716
2021-07-01T03:00:00.000000000,287.48,284.41489
2021-07-01T04:00:00.000000000,277.62,279.08868
2021-07-01T05:00:00.000000000,266.73,272.49516
2021-07-01T06:00:00.000000000,263.64,266.73227
2021-07-01T07:00:00.000000000,260.67,262.61499
2021-07-01T08:00:00.000000000,255.5,259.8697
2021-07-01T09:00:00.000000000,253.47,259.16244
2021-07-01T10:00:00.000000000,254.5,260.81407
2021-07-01T11:00:00.000000000,263.58,264.1158
2021-07-01T12:00:00.000000000,271.17,269.59001
2021-07-01T13:00:00.000000000,279.93,274.89749
2021-07-01T14:00:00.000000000,283.27,279.69182
2021-07-01T15:00:00.000000000,285.75,283.32746
2021-07-01T16:00:00.000000000,289.1,285.62422
2021-07-01T17:00:00.000000000,290.78,286.54179
2021-07-01T18:00:00.000000000,292.25,286.78584
2021-07-01T19:00:00.000000000,292.63,287.0369
2021-07-01T20:00:00.000000000,292.79,287.40407
2021-07-01T21:00:00.000000000,291.5,287.93982
2021-07-01T22:00:00.000000000,289.41,287.71168
2021-07-01T23:00:00.000000000,287.26,287.32272
2021-07-02T00:00:00.000000000,281.53,283.97761
2021-07-02T01:00:00.000000000,282.47,283.64905
2021-07-02T02:00:00.000000000,280.29,281.84391
2021-07-02T03:00:00.000000000,267.44,278.04683
2021-07-02T04:00:00.000000000,256.73,272.00039
2021-07-02T05:00:00.000000000,246.88,264.60434
2021-07-02T06:00:00.000000000,241.35,258.00793
2021-07-02T07:00:00.000000000,238.74,252.90395
2021-07-02T08:00:00.000000000,237.57,249.2083
2021-07-02T09:00:00.000000000,235.43,247.74497
2021-07-02T10:00:00.000000000,238.43,248.85485
2021-07-02T11:00:00.000000000,247.81,252.05139
2021-07-02T12:00:00.000000000,250.94,257.50595
2021-07-02T13:00:00.000000000,252.0,262.921
2021-07-02T14:00:00.000000000,258.56,268.01176
2021-07-02T15:00:00.000000000,261.45,272.33444
2021-07-02T16:00:00.000000000,267.84,275.59308
2021-07-02T17:00:00.000000000,267.85,277.58616
2021-07-02T18:00:00.000000000,266.44,278.58168
2021-07-02T19:00:00.000000000,263.48,278.86928
2021-07-02T20:00:00.000000000,261.78,278.67593
2021-07-02T21:00:00.000000000,260.13,278.26159
2021-07-02T22:00:00.000000000,259.0,277.58702
2021-07-02T23:00:00.000000000,254.61,277.7153
2021-07-03T00:00:00.000000000,246.55,278.4859
2021-07-03T01:00:00.000000000,247.62,278.1239
2021-07-03T02:00:00.000000000,240.72,275.95669
2021-07-03T03:00:00.000000000,226.99,271.46202
2021-07-03T04:00:00.000000000,215.1,264.80016
2021-07-03T05:00:00.000000000,207.91,257.25217
2021-07-03T06:00:00.000000000,198.28,251.01938
2021-07-03T07:00:00.000000000,198.98,246.59507
2021-07-03T08:00:00.000000000,201.05,243.75534
2021-07-03T09:00:00.000000000,198.59,243.09602
2021-07-03T10:00:00.000000000,200.95,244.79356
2021-07-03T11:00:00.000000000,197.87,248.35037
2021-07-03T12:00:00.000000000,201.39,253.82417
2021-07-03T13:00:00.000000000,213.48,259.05704
2021-07-03T14:00:00.000000000,219.93,263.89579
2021-07-03T15:00:00.000000000,225.78,268.08331
2021-07-03T16:00:00.000000000,227.18,271.37955
2021-07-03T17:00:00.000000000,232.26,273.54688
2021-07-03T18:00:00.000000000,234.42,274.73805
2021-07-03T19:00:00.000000000,230.73,275.08662
2021-07-03T20:00:00.000000000,230.82,274.80015
2021-07-03T21:00:00.000000000,229.84,274.19611
2021-07-03T22:00:00.000000000,222.64,273.40502
2021-07-03T23:00:00.000000000,220.66,273.55466
2021-07-04T00:00:00.000000000,216.02,283.2848
2021-07-04T01:00:00.000000000,229.43,282.15538
2021-07-04T02:00:00.000000000,224.65,279.86684
2021-07-04T03:00:00.000000000,218.69,276.21852
2021-07-04T04:00:00.000000000,208.58,270.94693
2021-07-04T05:00:00.000000000,199.01,264.72088
2021-07-04T06:00:00.000000000,191.38,259.35806
2021-07-04T07:00:00.000000000,188.88,255.28311
2021-07-04T08:00:00.000000000,187.36,252.25447
2021-07-04T09:00:00.000000000,184.96,251.02624
2021-07-04T10:00:00.000000000,186.88,252.03255
2021-07-04T11:00:00.000000000,183.11,254.93694
2021-07-04T12:00:00.000000000,182.68,260.0672
2021-07-04T13:00:00.000000000,192.36,265.20085
2021-07-04T14:00:00.000000000,199.4,270.06617
2021-07-04T15:00:00.000000000,207.91,274.19693
2021-07-04T16:00:00.000000000,215.73,277.27632
2021-07-04T17:00:00.000000000,219.03,279.07348
2021-07-04T18:00:00.000000000,221.46,279.89559
2021-07-04T19:00:00.000000000,218.43,280.08658
2021-07-04T20:00:00.000000000,216.31,279.88861
2021-07-04T21:00:00.000000000,220.8,279.56872
2021-07-04T22:00:00.000000000,212.93,278.84376
2021-07-04T23:00:00.000000000,216.0,278.62446
2021-07-02T00:00:00.000000000,281.53,280.95621
2021-07-02T01:00:00.000000000,282.47,281.12719
2021-07-02T02:00:00.000000000,280.29,279.37778
2021-07-02T03:00:00.000000000,267.44,274.97006
