datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,275.24,259.27582
2021-07-01T01:00:00.000000000,269.68,255.50291
2021-07-01T02:00:00.000000000,264.65,251.1568
2021-07-01T03:00:00.000000000,255.99,245.76319
2021-07-01T04:00:00.000000000,257.58,240.36897
2021-07-01T05:00:00.000000000,247.79,237.3689
2021-07-01T06:00:00.000000000,241.71,234.85142
2021-07-01T07:00:00.000000000,236.14,233.39507
2021-07-01T08:00:00.000000000,233.9,232.16715
2021-07-01T09:00:00.000000000,232.43,231.98808
2021-07-01T10:00:00.000000000,234.62,231.83834
2021-07-01T11:00:00.000000000,234.03,233.78862
2021-07-01T12:00:00.000000000,235.63,236.16112
2021-07-01T13:00:00.000000000,242.26,238.87476
2021-07-01T14:00:00.000000000,245.94,241.24705
2021-07-01T15:00:00.000000000,247.32,242.85921
2021-07-01T16:00:00.000000000,250.76,245.64297
2021-07-01T17:00:00.000000000,253.23,247.93955
2021-07-01T18:00:00.000000000,250.26,249.08641
2021-07-01T19:00:00.000000000,248.67,249.07581
2021-07-01T20:00:00.000000000,247.64,249.83297
2021-07-01T21:00:00.000000000,250.49,250.03322
2021-07-01T22:00:00.000000000,252.42,251.04398
2021-07-01T23:00:00.000000000,246.2,250.93942
2021-07-02T00:00:00.000000000,243.34,247.55297
2021-07-02T01:00:00.000000000,241.79,244.22285
2021-07-02T02:00:00.000000000,233.86,240.14012
2021-07-02T03:00:00.000000000,224.97,234.87791
2021-07-02T04:00:00.000000000,228.32,229.30772
2021-07-02T05:00:00.000000000,216.71,225.81125
2021-07-02T06:00:00.000000000,209.5,222.69351
2021-07-02T07:00:00.000000000,201.57,220.59861
2021-07-02T08:00:00.000000000,200.95,218.97607
2021-07-02T09:00:00.000000000,200.92,218.391
2021-07-02T10:00:00.000000000,205.18,218.0344
2021-07-02T11:00:00.000000000,209.2,219.69354
2021-07-02T12:00:00.000000000,208.89,221.85019
2021-07-02T13:00:00.000000000,214.38,224.4941
2021-07-02T14:00:00.000000000,219.83,227.07505
2021-07-02T15:00:00.000000000,219.99,229.01845
2021-07-02T16:00:00.000000000,218.93,231.89311
2021-07-02T17:00:00.000000000,217.04,234.27554
2021-07-02T18:00:00.000000000,216.29,235.70617
2021-07-02T19:00:00.000000000,217.66,236.07215
2021-07-02T20:00:00.000000000,219.1,236.91017
2021-07-02T21:00:00.000000000,216.51,237.06894
2021-07-02T22:00:00.000000000,216.67,237.66618
2021-07-02T23:00:00.000000000,217.42,237.42754
2021-07-03T00:00:00.000000000,212.97,240.69518
2021-07-03T01:00:00.000000000,211.06,237.74414
2021-07-03T02:00:00.000000000,208.21,233.85425
2021-07-03T03:00:00.000000000,197.42,228.5932
2021-07-03T04:00:00.000000000,183.4,222.73302
2021-07-03T05:00:00.000000000,196.97,218.61128
2021-07-03T06:00:00.000000000,195.3,214.77845
2021-07-03T07:00:00.000000000,169.38,212.03372
2021-07-03T08:00:00.000000000,166.76,210.01799
2021-07-03T09:00:00.000000000,170.37,209.26003
2021-07-03T10:00:00.000000000,172.05,209.1087
2021-07-03T11:00:00.000000000,171.61,211.21791
2021-07-03T12:00:00.000000000,174.0,213.97879
2021-07-03T13:00:00.000000000,179.41,217.35951
2021-07-03T14:00:00.000000000,189.77,220.758
2021-07-03T15:00:00.000000000,191.65,223.45671
2021-07-03T16:00:00.000000000,193.52,226.74798
2021-07-03T17:00:00.000000000,191.46,229.32139
2021-07-03T18:00:00.000000000,189.66,230.98173
2021-07-03T19:00:00.000000000,188.45,231.71369
2021-07-03T20:00:00.000000000,186.54,232.8368
2021-07-03T21:00:00.000000000,189.05,233.22247
2021-07-03T22:00:00.000000000,192.43,233.76304
2021-07-03T23:00:00.000000000,193.94,233.49134
2021-07-04T00:00:00.000000000,193.6,236.71476
2021-07-04T01:00:00.000000000,192.1,234.25323
2021-07-04T02:00:00.000000000,186.67,230.98392
2021-07-04T03:00:00.000000000,180.52,226.23814
2021-07-04T04:00:00.000000000,172.96,220.67691
2021-07-04T05:00:00.000000000,170.32,216.40359
2021-07-04T06:00:00.000000000,169.63,212.31874
2021-07-04T07:00:00.000000000,168.94,209.20991
2021-07-04T08:00:00.000000000,170.0,206.67697
2021-07-04T09:00:00.000000000,170.02,205.33518
2021-07-04T10:00:00.000000000,173.62,204.92046
2021-07-04T11:00:00.000000000,174.52,207.17292
2021-07-04T12:00:00.000000000,182.92,210.4617
2021-07-04T13:00:00.000000000,195.13,214.51676
2021-07-04T14:00:00.000000000,191.84,218.57703
2021-07-04T15:00:00.000000000,182.14,221.81434
2021-07-04T16:00:00.000000000,181.95,225.52292
2021-07-04T17:00:00.000000000,182.72,228.21382
2021-07-04T18:00:00.000000000,185.46,229.98053
2021-07-04T19:00:00.000000000,190.98,231.13281
2021-07-04T20:00:00.000000000,196.83,233.01843
2021-07-04T21:00:00.000000000,199.18,234.2634
2021-07-04T22:00:00.000000000,206.41,235.54173
2021-07-04T23:00:00.000000000,209.48,235.63708
2021-07-02T00:00:00.000000000,243.34,242.42844
2021-07-02T01:00:00.000000000,241.79,239.78165
2021-07-02T02:00:00.000000000,233.86,236.23384
2021-07-02T03:00:00.000000000,224.97,231.2563
2021-07-02T04:00:00.000000000,228.32,225.64055
2021-07-02T05:00:00.000000000,216.71,221.70029
2021-07-02T06:00:00.000000000,209.5,217.96638
2021-07-02T07:00:00.000000000,201.57,215.12477
2021-07-02T08:00:00.000000000,200.95,212.83064
2021-07-02T09:00:00.000000000,200.92,211.70588
2021-07-02T10:00:00.000000000,205.18,211.19673
2021-07-02T11:00:00.000000000,209.2,213.00046
2021-07-02T12:00:00.000000000,208.89,215.51542
2021-07-02T13:00:00.000000000,214.38,218.60428
2021-07-02T14:00:00.000000000,219.83,221.66983
2021-07-02T15:00:00.000000000,219.99,224.04588
2021-07-02T16:00:00.000000000,218.93,227.15125
2021-07-02T17:00:00.000000000,217.04,229.57678
2021-07-02T18:00:00.000000000,216.29,230.99149
2021-07-02T19:00:00.000000000,217.66,231.39034
2021-07-02T20:00:00.000000000,219.1,232.26281
2021-07-02T21:00:00.000000000,216.51,232.60279
2021-07-02T22:00:00.000000000,216.67,233.41629
2021-07-02T23:00:00.000000000,217.42,233.53183
2021-07-03T00:00:00.000000000,212.97,234.83823
2021-07-03T01:00:00.000000000,211.06,232.42318
2021-07-03T02:00:00.000000000,208.21,228.91193
2021-07-03T03:00:00.000000000,197.42,223.81475
2021-07-03T04:00:00.000000000,183.4,217.7985
2021-07-03T05:00:00.000000000,196.97,213.20309
2021-07-03T06:00:00.000000000,195.3,208.79024
2021-07-03T07:00:00.000000000,169.38,205.49159
2021-07-03T08:00:00.000000000,166.76,203.09142
2021-07-03T09:00:00.000000000,170.37,202.08525
2021-07-03T10:00:00.000000000,172.05,201.90178
2021-07-03T11:00:00.000000000,171.61,204.06776
2021-07-03T12:00:00.000000000,174.0,206.96808
2021-07-03T13:00:00.000000000,179.41,210.53854
2021-07-03T14:00:00.000000000,189.77,214.17908
2021-07-03T15:00:00.000000000,191.65,217.09323
2021-07-03T16:00:00.000000000,193.52,220.41795
2021-07-03T17:00:00.000000000,191.46,222.99293
2021-07-03T18:00:00.000000000,189.66,224.73795
2021-07-03T19:00:00.000000000,188.45,225.6609
2021-07-03T20:00:00.000000000,186.54,226.89638
2021-07-03T21:00:00.000000000,189.05,227.40656
2021-07-03T22:00:00.000000000,192.43,227.96937
2021-07-03T23:00:00.000000000,193.94,227.8614
2021-07-04T00:00:00.000000000,193.6,231.99423
2021-07-04T01:00:00.000000000,192.1,230.1693
2021-07-04T02:00:00.000000000,186.67,227.40335
2021-07-04T03:00:00.000000000,180.52,222.96416
2021-07-04T04:00:00.000000000,172.96,217.36515
2021-07-04T05:00:00.000000000,170.32,212.70984
2021-07-04T06:00:00.000000000,169.63,207.97127
2021-07-04T07:00:00.000000000,168.94,204.08098
2021-07-04T08:00:00.000000000,170.0,200.85842
2021-07-04T09:00:00.000000000,170.02,198.92445
2021-07-04T10:00:00.000000000,173.62,198.13075
2021-07-04T11:00:00.000000000,174.52,200.18823
2021-07-04T12:00:00.000000000,182.92,203.50211
2021-07-04T13:00:00.000000000,195.13,207.76303
2021-07-04T14:00:00.000000000,191.84,212.1746
2021-07-04T15:00:00.000000000,182.14,215.79106
2021-07-04T16:00:00.000000000,181.95,219.73456
2021-07-04T17:00:00.000000000,182.72,222.62456
2021-07-04T18:00:00.000000000,185.46,224.59395
2021-07-04T19:00:00.000000000,190.98,225.91472
2021-07-04T20:00:00.000000000,196.83,227.81428
2021-07-04T21:00:00.000000000,199.18,229.08534
2021-07-04T22:00:00.000000000,206.41,230.382
2021-07-04T23:00:00.000000000,209.48,230.72516
2021-07-05T00:00:00.000000000,206.22,231.92513
2021-07-05T01:00:00.000000000,203.26,229.84946
2021-07-05T02:00:00.000000000,196.68,226.79848
2021-07-05T03:00:00.000000000,191.99,222.08996
2021-07-05T04:00:00.000000000,190.56,216.21093
2021-07-05T05:00:00.000000000,171.47,211.2651
2021-07-05T06:00:00.000000000,167.95,206.30964
2021-07-05T07:00:00.000000000,167.32,202.39672
2021-07-05T08:00:00.000000000,165.69,199.3582
2021-07-05T09:00:00.000000000,165.49,197.79932
2021-07-05T10:00:00.000000000,164.01,197.48064
2021-07-05T11:00:00.000000000,166.5,200.08518
2021-07-05T12:00:00.000000000,175.11,203.90171
2021-07-05T13:00:00.000000000,176.71,208.68419
2021-07-05T14:00:00.000000000,184.31,213.59706
2021-07-05T15:00:00.000000000,189.91,217.65596
2021-07-05T16:00:00.000000000,195.03,221.9377
2021-07-05T17:00:00.000000000,210.27,225.07782
2021-07-05T18:00:00.000000000,215.03,227.28193
2021-07-05T19:00:00.000000000,209.1,228.8255
2021-07-05T20:00:00.000000000,210.49,230.83261
2021-07-05T21:00:00.000000000,217.75,232.03353
2021-07-05T22:00:00.000000000,224.68,233.05661
2021-07-05T23:00:00.000000000,225.85,233.00453
2021-07-03T00:00:00.000000000,212.97,224.40485
2021-07-03T01:00:00.000000000,211.06,222.41186
2021-07-03T02:00:00.000000000,208.21,219.15348
2021-07-03T03:00:00.000000000,197.42,214.14124
2021-07-03T04:00:00.000000000,183.4,207.88863
2021-07-03T05:00:00.000000000,196.97,202.6142
2021-07-03T06:00:00.000000000,195.3,197.50061
2021-07-03T07:00:00.000000000,169.38,193.67379
2021-07-03T08:00:00.000000000,166.76,191.12234
2021-07-03T09:00:00.000000000,170.37,190.27698
2021-07-03T10:00:00.000000000,172.05,190.69419
2021-07-03T11:00:00.000000000,171.61,193.56394
2021-07-03T12:00:00.000000000,174.0,197.16497
2021-07-03T13:00:00.000000000,179.41,201.39876
2021-07-03T14:00:00.000000000,189.77,205.64549
2021-07-03T15:00:00.000000000,191.65,209.04767
2021-07-03T16:00:00.000000000,193.52,212.56523
2021-07-03T17:00:00.000000000,191.46,215.22616
2021-07-03T18:00:00.000000000,189.66,217.15142
2021-07-03T19:00:00.000000000,188.45,218.43594
2021-07-03T20:00:00.000000000,186.54,219.8349
2021-07-03T21:00:00.000000000,189.05,220.44977
2021-07-03T22:00:00.000000000,192.43,220.82922
2021-07-03T23:00:00.000000000,193.94,220.51387
2021-07-04T00:00:00.000000000,193.6,225.15942
2021-07-04T01:00:00.000000000,192.1,223.68798
2021-07-04T02:00:00.000000000,186.67,221.12797
2021-07-04T03:00:00.000000000,180.52,216.74359
2021-07-04T04:00:00.000000000,172.96,210.88518
2021-07-04T05:00:00.000000000,170.32,205.68636
2021-07-04T06:00:00.000000000,169.63,200.31658
2021-07-04T07:00:00.000000000,168.94,195.88291
2021-07-04T08:00:00.000000000,170.0,192.34428
2021-07-04T09:00:00.000000000,170.02,190.2669
2021-07-04T10:00:00.000000000,173.62,189.63222
2021-07-04T11:00:00.000000000,174.52,191.99889
2021-07-04T12:00:00.000000000,182.92,195.71842
2021-07-04T13:00:00.000000000,195.13,200.45728
2021-07-04T14:00:00.000000000,191.84,205.39159
2021-07-04T15:00:00.000000000,182.14,209.46495
2021-07-04T16:00:00.000000000,181.95,213.6165
2021-07-04T17:00:00.000000000,182.72,216.59854
2021-07-04T18:00:00.000000000,185.46,218.74243
2021-07-04T19:00:00.000000000,190.98,220.34193
2021-07-04T20:00:00.000000000,196.83,222.36457
2021-07-04T21:00:00.000000000,199.18,223.68378
2021-07-04T22:00:00.000000000,206.41,224.81058
2021-07-04T23:00:00.000000000,209.48,225.05913
2021-07-05T00:00:00.000000000,206.22,226.36644
2021-07-05T01:00:00.000000000,203.26,224.36344
2021-07-05T02:00:00.000000000,196.68,221.33492
2021-07-05T03:00:00.000000000,191.99,216.68963
2021-07-05T04:00:00.000000000,190.56,210.74754
2021-07-05T05:00:00.000000000,171.47,205.54394
2021-07-05T06:00:00.000000000,167.95,200.22111
2021-07-05T07:00:00.000000000,167.32,195.97409
2021-07-05T08:00:00.000000000,165.69,192.79062
2021-07-05T09:00:00.000000000,165.49,191.27337
2021-07-05T10:00:00.000000000,164.01,191.21478
2021-07-05T11:00:00.000000000,166.5,194.15089
2021-07-05T12:00:00.000000000,175.11,198.32554
2021-07-05T13:00:00.000000000,176.71,203.46606
2021-07-05T14:00:00.000000000,184.31,208.70021
2021-07-05T15:00:00.000000000,189.91,213.01745
2021-07-05T16:00:00.000000000,195.03,217.4477
2021-07-05T17:00:00.000000000,210.27,220.76051
2021-07-05T18:00:00.000000000,215.03,223.12789
2021-07-05T19:00:00.000000000,209.1,224.75208
2021-07-05T20:00:00.000000000,210.49,226.56219
2021-07-05T21:00:00.000000000,217.75,227.47001
2021-07-05T22:00:00.000000000,224.68,228.0948
2021-07-05T23:00:00.000000000,225.85,227.73766
2021-07-06T00:00:00.000000000,222.46,223.42219
2021-07-06T01:00:00.000000000,221.66,220.12459
2021-07-06T02:00:00.000000000,215.81,215.64102
2021-07-06T03:00:00.000000000,211.35,209.83223
2021-07-06T04:00:00.000000000,203.99,203.19192
2021-07-06T05:00:00.000000000,196.54,197.75378
2021-07-06T06:00:00.000000000,190.45,192.57627
2021-07-06T07:00:00.000000000,187.55,189.20481
2021-07-06T08:00:00.000000000,179.93,187.51392
2021-07-06T09:00:00.000000000,183.46,188.04256
2021-07-06T10:00:00.000000000,185.94,190.19558
2021-07-06T11:00:00.000000000,188.69,195.00461
