datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,402.21,389.69709
2021-07-01T01:00:00.000000000,405.33,388.87962
2021-07-01T02:00:00.000000000,403.6,386.01242
2021-07-01T03:00:00.000000000,398.23,381.70201
2021-07-01T04:00:00.000000000,401.77,373.66387
2021-07-01T05:00:00.000000000,386.31,366.26875
2021-07-01T06:00:00.000000000,376.65,361.18079
2021-07-01T07:00:00.000000000,370.79,356.72548
2021-07-01T08:00:00.000000000,369.4,354.79676
2021-07-01T09:00:00.000000000,370.1,354.58368
2021-07-01T10:00:00.000000000,370.01,356.20071
2021-07-01T11:00:00.000000000,373.61,358.70263
2021-07-01T12:00:00.000000000,372.12,363.32921
2021-07-01T13:00:00.000000000,372.42,365.52322
2021-07-01T14:00:00.000000000,378.13,367.26323
2021-07-01T15:00:00.000000000,378.54,366.69273
2021-07-01T16:00:00.000000000,370.61,366.05621
2021-07-01T17:00:00.000000000,368.48,365.24769
2021-07-01T18:00:00.000000000,364.64,363.89857
2021-07-01T19:00:00.000000000,360.07,363.99936
2021-07-01T20:00:00.000000000,362.0,365.05587
2021-07-01T21:00:00.000000000,365.41,366.56664
2021-07-01T22:00:00.000000000,366.31,368.57839
2021-07-01T23:00:00.000000000,372.96,370.76912
2021-07-02T00:00:00.000000000,371.8,372.97738
2021-07-02T01:00:00.000000000,368.19,374.02419
2021-07-02T02:00:00.000000000,365.54,373.30335
2021-07-02T03:00:00.000000000,357.61,370.8165
2021-07-02T04:00:00.000000000,392.98,363.74012
2021-07-02T05:00:00.000000000,336.99,355.3224
2021-07-02T06:00:00.000000000,332.67,347.87064
2021-07-02T07:00:00.000000000,326.42,340.65437
2021-07-02T08:00:00.000000000,323.53,335.58119
2021-07-02T09:00:00.000000000,324.04,333.36847
2021-07-02T10:00:00.000000000,326.91,334.03177
2021-07-02T11:00:00.000000000,330.39,336.81918
2021-07-02T12:00:00.000000000,339.19,342.43679
2021-07-02T13:00:00.000000000,344.61,346.92894
2021-07-02T14:00:00.000000000,346.19,351.52653
2021-07-02T15:00:00.000000000,340.69,354.30815
2021-07-02T16:00:00.000000000,333.24,356.27926
2021-07-02T17:00:00.000000000,334.74,357.06049
2021-07-02T18:00:00.000000000,334.08,356.10783
2021-07-02T19:00:00.000000000,330.48,355.14999
2021-07-02T20:00:00.000000000,330.37,354.50865
2021-07-02T21:00:00.000000000,333.71,354.38409
2021-07-02T22:00:00.000000000,336.37,355.42348
2021-07-02T23:00:00.000000000,342.93,357.48302
2021-07-03T00:00:00.000000000,340.11,358.34062
2021-07-03T01:00:00.000000000,338.45,361.1915
2021-07-03T02:00:00.000000000,334.92,362.66585
2021-07-03T03:00:00.000000000,322.56,361.98314
2021-07-03T04:00:00.000000000,343.45,355.82738
2021-07-03T05:00:00.000000000,309.94,346.80413
2021-07-03T06:00:00.000000000,307.08,337.2997
2021-07-03T07:00:00.000000000,301.5,327.53008
2021-07-03T08:00:00.000000000,298.22,319.37668
2021-07-03T09:00:00.000000000,297.31,314.57874
2021-07-03T10:00:00.000000000,297.25,313.18453
2021-07-03T11:00:00.000000000,296.41,314.85796
2021-07-03T12:00:00.000000000,296.25,320.1117
2021-07-03T13:00:00.000000000,303.03,325.59739
2021-07-03T14:00:00.000000000,303.89,332.27636
2021-07-03T15:00:00.000000000,306.73,338.24744
2021-07-03T16:00:00.000000000,311.56,343.14333
