datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,621.37,606.22452
2021-07-01T01:00:00.000000000,614.45,605.32515
2021-07-01T02:00:00.000000000,616.4,604.64659
2021-07-01T03:00:00.000000000,613.88,608.18248
2021-07-01T04:00:00.000000000,626.73,607.92289
2021-07-01T05:00:00.000000000,623.47,599.5059
2021-07-01T06:00:00.000000000,615.49,592.78253
2021-07-01T07:00:00.000000000,594.78,584.81884
2021-07-01T08:00:00.000000000,582.93,577.0571
2021-07-01T09:00:00.000000000,574.32,560.8896
2021-07-01T10:00:00.000000000,566.52,552.74384
2021-07-01T11:00:00.000000000,561.19,564.17877
2021-07-01T12:00:00.000000000,568.35,569.60362
2021-07-01T13:00:00.000000000,574.83,585.66521
2021-07-01T14:00:00.000000000,588.54,593.35843
2021-07-01T15:00:00.000000000,603.51,605.90316
2021-07-01T16:00:00.000000000,624.96,626.90851
2021-07-01T17:00:00.000000000,647.73,630.9939
2021-07-01T18:00:00.000000000,656.3,631.47018
2021-07-01T19:00:00.000000000,656.6,633.96536
2021-07-01T20:00:00.000000000,657.27,628.4466
2021-07-01T21:00:00.000000000,654.29,627.27058
2021-07-01T22:00:00.000000000,654.24,624.97511
2021-07-01T23:00:00.000000000,654.38,625.44403
2021-07-02T00:00:00.000000000,656.77,614.89634
2021-07-02T01:00:00.000000000,661.71,615.46397
2021-07-02T02:00:00.000000000,664.45,617.10799
2021-07-02T03:00:00.000000000,669.62,624.82642
2021-07-02T04:00:00.000000000,675.52,627.74058
2021-07-02T05:00:00.000000000,670.48,629.9812
2021-07-02T06:00:00.000000000,666.87,631.78088
2021-07-02T07:00:00.000000000,659.72,631.92749
2021-07-02T08:00:00.000000000,653.46,627.80953
2021-07-02T09:00:00.000000000,638.86,619.76129
2021-07-02T10:00:00.000000000,639.65,617.87682
2021-07-02T11:00:00.000000000,633.8,623.20955
2021-07-02T12:00:00.000000000,620.78,624.44394
2021-07-02T13:00:00.000000000,618.23,633.59148
2021-07-02T14:00:00.000000000,626.62,633.3808
2021-07-02T15:00:00.000000000,625.17,638.98831
2021-07-02T16:00:00.000000000,637.08,646.08981
2021-07-02T17:00:00.000000000,653.28,647.27628
2021-07-02T18:00:00.000000000,661.13,643.70685
2021-07-02T19:00:00.000000000,662.4,643.0835
2021-07-02T20:00:00.000000000,659.29,631.77983
2021-07-02T21:00:00.000000000,657.09,630.52946
2021-07-02T22:00:00.000000000,653.31,624.52174
2021-07-02T23:00:00.000000000,643.95,624.8745
2021-07-03T00:00:00.000000000,631.84,617.77266
2021-07-03T01:00:00.000000000,624.87,615.14512
2021-07-03T02:00:00.000000000,620.31,614.30129
2021-07-03T03:00:00.000000000,622.03,621.44102
2021-07-03T04:00:00.000000000,625.86,623.3894
2021-07-03T05:00:00.000000000,620.44,623.76229
2021-07-03T06:00:00.000000000,612.69,625.30087
2021-07-03T07:00:00.000000000,601.61,625.36245
2021-07-03T08:00:00.000000000,592.35,622.5452
2021-07-03T09:00:00.000000000,587.91,611.94587
2021-07-03T10:00:00.000000000,582.56,607.29796
2021-07-03T11:00:00.000000000,583.99,612.2457
2021-07-03T12:00:00.000000000,587.02,610.9639
2021-07-03T13:00:00.000000000,575.62,620.14751
2021-07-03T14:00:00.000000000,590.92,619.48201
2021-07-03T15:00:00.000000000,610.39,627.39766
2021-07-03T16:00:00.000000000,636.7,641.32174
2021-07-03T17:00:00.000000000,655.02,644.79731
2021-07-03T18:00:00.000000000,671.36,646.33717
2021-07-03T19:00:00.000000000,680.03,649.23865
2021-07-03T20:00:00.000000000,681.69,641.94636
2021-07-03T21:00:00.000000000,684.19,645.849
2021-07-03T22:00:00.000000000,683.28,641.43913
2021-07-03T23:00:00.000000000,681.94,643.60644
2021-07-04T00:00:00.000000000,684.65,623.0592
2021-07-04T01:00:00.000000000,683.44,623.09979
2021-07-04T02:00:00.000000000,683.65,622.81649
2021-07-04T03:00:00.000000000,678.81,632.92944
2021-07-04T04:00:00.000000000,668.06,641.57368
2021-07-04T05:00:00.000000000,649.9,648.03459
2021-07-04T06:00:00.000000000,632.39,656.14821
2021-07-04T07:00:00.000000000,619.57,662.41315
2021-07-04T08:00:00.000000000,594.18,662.52923
2021-07-04T09:00:00.000000000,581.63,649.82681
2021-07-04T10:00:00.000000000,587.59,642.23905
2021-07-04T11:00:00.000000000,580.57,643.43672
2021-07-04T12:00:00.000000000,582.3,634.3284
2021-07-04T13:00:00.000000000,585.03,637.59951
2021-07-04T14:00:00.000000000,587.61,632.30144
2021-07-04T15:00:00.000000000,604.3,636.85877
2021-07-04T16:00:00.000000000,648.47,649.65148
2021-07-04T17:00:00.000000000,674.5,652.75334
2021-07-04T18:00:00.000000000,684.23,656.01522
2021-07-04T19:00:00.000000000,689.42,659.69962
2021-07-04T20:00:00.000000000,691.0,654.68679
2021-07-04T21:00:00.000000000,691.31,657.86274
2021-07-04T22:00:00.000000000,685.99,652.88275
2021-07-04T23:00:00.000000000,684.49,650.57551
2021-07-02T00:00:00.000000000,656.77,629.03914
2021-07-02T01:00:00.000000000,661.71,629.84089
2021-07-02T02:00:00.000000000,664.45,631.64756
2021-07-02T03:00:00.000000000,669.62,637.52698
2021-07-02T04:00:00.000000000,675.52,643.15474
2021-07-02T05:00:00.000000000,670.48,641.92242
2021-07-02T06:00:00.000000000,666.87,641.54851
2021-07-02T07:00:00.000000000,659.72,638.84933
2021-07-02T08:00:00.000000000,653.46,632.66996
2021-07-02T09:00:00.000000000,638.86,616.33518
2021-07-02T10:00:00.000000000,639.65,608.23599
2021-07-02T11:00:00.000000000,633.8,612.75818
2021-07-02T12:00:00.000000000,620.78,609.69988
2021-07-02T13:00:00.000000000,618.23,616.38188
2021-07-02T14:00:00.000000000,626.62,615.06683
2021-07-02T15:00:00.000000000,625.17,620.8875
2021-07-02T16:00:00.000000000,637.08,632.7659
2021-07-02T17:00:00.000000000,653.28,634.94746
2021-07-02T18:00:00.000000000,661.13,630.53209
2021-07-02T19:00:00.000000000,662.4,633.68055
2021-07-02T20:00:00.000000000,659.29,624.23249
2021-07-02T21:00:00.000000000,657.09,624.10983
2021-07-02T22:00:00.000000000,653.31,619.87815
2021-07-02T23:00:00.000000000,643.95,618.15119
2021-07-03T00:00:00.000000000,631.84,605.46651
2021-07-03T01:00:00.000000000,624.87,605.15494
2021-07-03T02:00:00.000000000,620.31,606.20587
2021-07-03T03:00:00.000000000,622.03,615.21259
2021-07-03T04:00:00.000000000,625.86,618.87655
2021-07-03T05:00:00.000000000,620.44,620.56881
2021-07-03T06:00:00.000000000,612.69,624.48665
2021-07-03T07:00:00.000000000,601.61,626.0697
2021-07-03T08:00:00.000000000,592.35,624.73286
2021-07-03T09:00:00.000000000,587.91,614.58341
2021-07-03T10:00:00.000000000,582.56,614.28231
2021-07-03T11:00:00.000000000,583.99,622.79185
2021-07-03T12:00:00.000000000,587.02,625.30531
2021-07-03T13:00:00.000000000,575.62,636.69154
2021-07-03T14:00:00.000000000,590.92,637.95673
2021-07-03T15:00:00.000000000,610.39,645.5653
2021-07-03T16:00:00.000000000,636.7,658.26773
2021-07-03T17:00:00.000000000,655.02,660.43074
2021-07-03T18:00:00.000000000,671.36,660.77324
2021-07-03T19:00:00.000000000,680.03,659.3953
2021-07-03T20:00:00.000000000,681.69,649.94419
2021-07-03T21:00:00.000000000,684.19,647.89434
2021-07-03T22:00:00.000000000,683.28,642.10996
2021-07-03T23:00:00.000000000,681.94,642.32679
2021-07-04T00:00:00.000000000,684.65,624.06707
2021-07-04T01:00:00.000000000,683.44,625.60735
2021-07-04T02:00:00.000000000,683.65,625.77913
2021-07-04T03:00:00.000000000,678.81,634.99486
2021-07-04T04:00:00.000000000,668.06,640.38377
2021-07-04T05:00:00.000000000,649.9,643.68799
2021-07-04T06:00:00.000000000,632.39,647.74888
2021-07-04T07:00:00.000000000,619.57,652.03696
2021-07-04T08:00:00.000000000,594.18,649.94595
2021-07-04T09:00:00.000000000,581.63,638.74934
2021-07-04T10:00:00.000000000,587.59,635.89172
2021-07-04T11:00:00.000000000,580.57,641.04537
2021-07-04T12:00:00.000000000,582.3,638.13854
2021-07-04T13:00:00.000000000,585.03,645.8566
2021-07-04T14:00:00.000000000,587.61,643.41017
2021-07-04T15:00:00.000000000,604.3,648.1199
2021-07-04T16:00:00.000000000,648.47,657.58703
2021-07-04T17:00:00.000000000,674.5,658.37058
