datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2021-07-01T00:00:00.000000000,35.49,34.63278
2021-07-01T01:00:00.000000000,35.73,35.15427
2021-07-01T02:00:00.000000000,35.55,34.94457
2021-07-01T03:00:00.000000000,34.86,35.18618
2021-07-01T04:00:00.000000000,32.13,35.17347
2021-07-01T05:00:00.000000000,31.48,34.99097
2021-07-01T06:00:00.000000000,30.49,34.82101
2021-07-01T07:00:00.000000000,29.77,34.94952
2021-07-01T08:00:00.000000000,30.13,35.22159
2021-07-01T09:00:00.000000000,30.23,35.52328
2021-07-01T10:00:00.000000000,30.46,35.56893
2021-07-01T11:00:00.000000000,31.27,35.96133
2021-07-01T12:00:00.000000000,31.44,36.20713
2021-07-01T13:00:00.000000000,31.48,36.30037
2021-07-01T14:00:00.000000000,31.68,36.42205
2021-07-01T15:00:00.000000000,32.01,36.34079
2021-07-01T16:00:00.000000000,32.13,35.94704
2021-07-01T17:00:00.000000000,31.77,35.81705
2021-07-01T18:00:00.000000000,31.86,35.4728
2021-07-01T19:00:00.000000000,31.77,34.99575
2021-07-01T20:00:00.000000000,31.98,34.67466
2021-07-01T21:00:00.000000000,32.39,34.54188
2021-07-01T22:00:00.000000000,32.31,34.69132
2021-07-01T23:00:00.000000000,32.85,34.81047
2021-07-02T00:00:00.000000000,32.9,36.42176
2021-07-02T01:00:00.000000000,33.51,36.78686
2021-07-02T02:00:00.000000000,33.53,36.57146
2021-07-02T03:00:00.000000000,33.61,36.83655
2021-07-02T04:00:00.000000000,33.24,36.9222
2021-07-02T05:00:00.000000000,32.13,36.75683
2021-07-02T06:00:00.000000000,31.55,36.70389
2021-07-02T07:00:00.000000000,32.36,36.89256
2021-07-02T08:00:00.000000000,32.79,37.08313
2021-07-02T09:00:00.000000000,32.89,37.31256
2021-07-02T10:00:00.000000000,33.89,37.26491
2021-07-02T11:00:00.000000000,32.88,37.59021
2021-07-02T12:00:00.000000000,34.22,37.79962
2021-07-02T13:00:00.000000000,34.08,37.88827
2021-07-02T14:00:00.000000000,34.31,38.0635
2021-07-02T15:00:00.000000000,34.69,38.10209
2021-07-02T16:00:00.000000000,34.53,37.93202
2021-07-02T17:00:00.000000000,33.81,37.97264
2021-07-02T18:00:00.000000000,33.67,37.80548
2021-07-02T19:00:00.000000000,33.47,37.51725
2021-07-02T20:00:00.000000000,33.38,37.27721
2021-07-02T21:00:00.000000000,33.0,36.9972
2021-07-02T22:00:00.000000000,33.11,37.01671
2021-07-02T23:00:00.000000000,34.09,36.92022
2021-07-03T00:00:00.000000000,34.31,38.6603
2021-07-03T01:00:00.000000000,34.01,39.14077
2021-07-03T02:00:00.000000000,34.4,38.99404
2021-07-03T03:00:00.000000000,34.37,39.12662
2021-07-03T04:00:00.000000000,34.91,39.05162
2021-07-03T05:00:00.000000000,34.79,38.68456
2021-07-03T06:00:00.000000000,34.95,38.57181
2021-07-03T07:00:00.000000000,34.89,38.63745
2021-07-03T08:00:00.000000000,35.01,38.71423
2021-07-03T09:00:00.000000000,35.81,38.9356
2021-07-03T10:00:00.000000000,35.95,38.83683
2021-07-03T11:00:00.000000000,36.4,39.27607
2021-07-03T12:00:00.000000000,36.33,39.52387
2021-07-03T13:00:00.000000000,35.82,39.5162
2021-07-03T14:00:00.000000000,34.99,39.63769
2021-07-03T15:00:00.000000000,35.37,39.56313
2021-07-03T16:00:00.000000000,35.23,39.27342
2021-07-03T17:00:00.000000000,34.81,39.10456
2021-07-03T18:00:00.000000000,34.28,38.78513
2021-07-03T19:00:00.000000000,33.49,38.50576
2021-07-03T20:00:00.000000000,33.41,38.25097
2021-07-03T21:00:00.000000000,33.24,38.08189
2021-07-03T22:00:00.000000000,32.88,38.26976
2021-07-03T23:00:00.000000000,33.28,38.43255
2021-07-04T00:00:00.000000000,33.43,40.24611
2021-07-04T01:00:00.000000000,33.79,40.51983
2021-07-04T02:00:00.000000000,34.54,40.18887
2021-07-04T03:00:00.000000000,35.07,40.19988
2021-07-04T04:00:00.000000000,35.05,40.14964
2021-07-04T05:00:00.000000000,35.69,39.78823
2021-07-04T06:00:00.000000000,35.72,39.93139
2021-07-04T07:00:00.000000000,36.58,40.31896
2021-07-04T08:00:00.000000000,36.2,40.79195
2021-07-04T09:00:00.000000000,36.99,41.3784
2021-07-04T10:00:00.000000000,36.97,41.47786
2021-07-04T11:00:00.000000000,37.29,42.07501
2021-07-04T12:00:00.000000000,37.61,42.16102
2021-07-04T13:00:00.000000000,37.32,41.99308
2021-07-04T14:00:00.000000000,37.42,41.83708
2021-07-04T15:00:00.000000000,36.86,41.39917
2021-07-04T16:00:00.000000000,36.76,40.89741
2021-07-04T17:00:00.000000000,35.96,40.5072
2021-07-04T18:00:00.000000000,36.24,40.20279
2021-07-04T19:00:00.000000000,35.63,39.98647
2021-07-04T20:00:00.000000000,35.46,39.7403
2021-07-04T21:00:00.000000000,34.95,39.68953
2021-07-04T22:00:00.000000000,34.67,39.89337
2021-07-04T23:00:00.000000000,36.25,40.04741
2021-07-02T00:00:00.000000000,32.9,34.85287
2021-07-02T01:00:00.000000000,33.51,35.14102
2021-07-02T02:00:00.000000000,33.53,34.75948
2021-07-02T03:00:00.000000000,33.61,34.89551
2021-07-02T04:00:00.000000000,33.24,34.7687
2021-07-02T05:00:00.000000000,32.13,34.50781
2021-07-02T06:00:00.000000000,31.55,34.316
2021-07-02T07:00:00.000000000,32.36,34.49722
2021-07-02T08:00:00.000000000,32.79,34.81187
2021-07-02T09:00:00.000000000,32.89,35.21391
2021-07-02T10:00:00.000000000,33.89,35.359
2021-07-02T11:00:00.000000000,32.88,35.82197
2021-07-02T12:00:00.000000000,34.22,36.23021
2021-07-02T13:00:00.000000000,34.08,36.4712
2021-07-02T14:00:00.000000000,34.31,36.66395
2021-07-02T15:00:00.000000000,34.69,36.66719
2021-07-02T16:00:00.000000000,34.53,36.32121
2021-07-02T17:00:00.000000000,33.81,36.32073
2021-07-02T18:00:00.000000000,33.67,36.09585
2021-07-02T19:00:00.000000000,33.47,35.6955
2021-07-02T20:00:00.000000000,33.38,35.4157
2021-07-02T21:00:00.000000000,33.0,35.26097
2021-07-02T22:00:00.000000000,33.11,35.35675
2021-07-02T23:00:00.000000000,34.09,35.34865
2021-07-03T00:00:00.000000000,34.31,37.08645
2021-07-03T01:00:00.000000000,34.01,37.3908
2021-07-03T02:00:00.000000000,34.4,37.10194
2021-07-03T03:00:00.000000000,34.37,37.23844
2021-07-03T04:00:00.000000000,34.91,37.20417
2021-07-03T05:00:00.000000000,34.79,36.94458
2021-07-03T06:00:00.000000000,34.95,36.87238
2021-07-03T07:00:00.000000000,34.89,37.06992
2021-07-03T08:00:00.000000000,35.01,37.3045
2021-07-03T09:00:00.000000000,35.81,37.61015
2021-07-03T10:00:00.000000000,35.95,37.64551
2021-07-03T11:00:00.000000000,36.4,38.03156
2021-07-03T12:00:00.000000000,36.33,38.27066
2021-07-03T13:00:00.000000000,35.82,38.3456
2021-07-03T14:00:00.000000000,34.99,38.47881
2021-07-03T15:00:00.000000000,35.37,38.43139
2021-07-03T16:00:00.000000000,35.23,38.18785
2021-07-03T17:00:00.000000000,34.81,38.17046
2021-07-03T18:00:00.000000000,34.28,38.00432
2021-07-03T19:00:00.000000000,33.49,37.77196
2021-07-03T20:00:00.000000000,33.41,37.59057
2021-07-03T21:00:00.000000000,33.24,37.424
2021-07-03T22:00:00.000000000,32.88,37.53089
2021-07-03T23:00:00.000000000,33.28,37.50721
2021-07-04T00:00:00.000000000,33.43,39.00281
2021-07-04T01:00:00.000000000,33.79,39.60082
2021-07-04T02:00:00.000000000,34.54,39.56886
